\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Affection Status\,phv00320634,Affection_Status
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Sociodemography\,phv00320630,AGE
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Sociodemography\,phv00320631,SEX
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Sociodemography\,phv00320632,Ethnicity
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00320614,SUBJECT_ID
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00320615,CONSENT
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00320616,SUBJECT_SOURCE
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00320617,SOURCE_SUBJECT_ID
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Pedigree\,phv00320618,FAMILY_ID
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Pedigree\,phv00320619,SUBJECT_ID
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Pedigree\,phv00320620,MOTHER_ID
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Pedigree\,phv00320621,FATHER_ID
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Pedigree\,phv00320622,SEX
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Pedigree\,phv00320623,TWIN_ID
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject Sample Mapping, Sample Source and Use, and Study Accessions\",phv00320624,SUBJECT_ID
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject Sample Mapping, Sample Source and Use, and Study Accessions\",phv00320625,SAMPLE_ID
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject Sample Mapping, Sample Source and Use, and Study Accessions\",phv00320626,SAMPLE_SOURCE
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject Sample Mapping, Sample Source and Use, and Study Accessions\",phv00320627,SAMPLE_USE
"\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Subject Sample Mapping, Sample Source and Use, and Study Accessions\",phv00320628,STUDY
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Sociodemography and Administration\Other IDs\,phv00320629,SUBJECT_ID
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Physical Observations\,phv00320631,SEX
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Physical Observations\,phv00320633,BMI
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Lifestyle and Environment\,phv00320635,smoke_current
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Lifestyle and Environment\,phv00320636,asthma_hospital_12mo
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Lifestyle and Environment\,phv00320637,steroids_12mo
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Lifestyle and Environment\,phv00320638,delta1
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Lifestyle and Environment\,phv00320639,no2_lifetime
\Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study\Lifestyle and Environment\,phv00320640,pm25_lifetime
